postal_code,latitude,longitude
3583,51.0394044,5.1722088
3590,50.9225609,5.4261677
3600,50.968761,5.4979835
3620,50.88378,5.62551244
3621,50.9238013,5.6899783
3630,50.969278,5.6788175
3640,51.1452624,5.7422849
3650,51.0197869,5.73478295
3660,51.0359436,5.5866785
3665,51.0077188,5.58953
3668,51.01967895,5.61395995
3670,51.09867,5.5243649
3680,51.0945879,5.7834724
3690,50.9264,5.584892
3700,50.7819556,5.4692134
3717,50.7258847,5.4276277
3720,50.8563674,5.3876457
3721,50.8664718,5.4285544
3724,50.8360685,5.426137
3730,50.8510257,5.4911897
3740,50.87486,5.513334
3770,50.8089945,5.6093091
3790,50.7564473,5.7130563
3793,50.7491712,5.8692084
3800,50.81791665,5.18666
3803,50.81744955,5.143356949999999
3806,50.780713815,5.132098035
3830,50.844494,5.3393511
3832,50.8391217,5.2887584
3840,50.804474,5.3094423
3850,50.8788734,5.2054144
3870,50.74933,5.300409
3890,50.72166355,5.1349741
3891,50.7438,5.18529
3900,51.1913215,5.3966251
3910,51.22834,5.439471
3920,51.23092116,5.3103604
3930,51.249840000000006,5.5314630000000005
3940,51.1250996,5.366822
3941,51.154841475,5.3923092
3945,51.1035491,5.173664
3950,51.1747723,5.5750394
3960,51.139510200000004,5.60559605
3970,51.11689,5.264095
3971,51.1103754,5.2286475
3980,51.067361,5.0892695
3990,51.128523900000005,5.41226771
4000,50.63973505,5.56724117
4020,50.6421341,5.59528041
4030,50.626880549999996,5.6074492
4031,50.5956301,5.570024
4032,50.606888,5.6137
4040,50.66591,5.62306
4041,50.67308815,5.58821395
4042,50.69230795,5.5647386
4050,50.5880839,5.6546815
4051,50.60121085,5.632997635000001
4052,50.5586829,5.6383875
4053,50.5924052,5.6056398
4100,50.5990833,5.5117383
4101,50.6161775,5.5033014
4102,50.599131,5.5388358
4120,50.5365653,5.4842146
4121,50.5481135,5.4569832
4122,50.5447244,5.52578805
4130,50.53635075,5.57870334
4140,50.5055032,5.6604173
4141,50.5290986,5.7250875
4160,50.487033600000004,5.5197904
4161,50.499206599999994,5.5155659
4162,50.4906533,5.5022096
4163,50.5134022,5.4921262
4170,50.4740721,5.581029
4171,50.506607,5.5705123
4180,50.4336109,5.53951688
4181,50.42501757,5.56622711
4190,50.40466255,5.610581
4210,50.583992,5.08298205
4217,50.556186350000004,5.068641899999999
4218,50.5314526,5.1210641
4219,50.6218794,5.004809325
4250,50.6688563,5.1687211
4252,50.66084635,5.20428205
4253,50.6643675,5.1872565
4254,50.6606161,5.1803106
4257,50.69875,5.210296
4260,50.6230915,5.1333333
4280,50.66673705,5.07536715
4287,50.7114606,5.0278227
4300,50.69775,5.25563575
4317,50.6396632,5.24411555
4340,50.688196,5.45117345
4342,50.6850522,5.4577303
4347,50.665333,5.4004963
4350,50.691088300000004,5.33531621
4351,50.6967536,5.33965276
4357,50.65232521,5.3220331
4360,50.72755255,5.35
4367,50.7099216,5.3967919
4400,50.60187,5.45391418
4420,50.6330051,5.5303671
4430,50.6575473,5.5346267
4431,50.6644359,5.5041764
4432,50.674669050000006,5.5142235500000005
4450,50.7181629,5.5679837
4451,50.6889494,5.5503362
4452,50.7216581,5.5241206
4458,50.7183977,5.578217499999999
4460,50.633706000000004,5.48546865
4470,50.5862697,5.3603101
4480,50.5809932,5.39976057
4500,50.520855600000004,5.2396514
4520,50.5432455,5.2149085
4530,50.5700964,5.2690862
4537,50.6090241,5.3172296
4540,50.5467055,5.313121
4550,50.507161,5.4166769
4557,50.47466,5.37723
4560,50.40448655,5.3412639
4570,50.4770198,5.2385556
4577,50.4906126,5.3122076499999995
4590,50.4381,5.4674537
4600,50.7362412,5.69562685
4602,50.6842938,5.6727322
4606,50.7028121,5.7516436
4607,50.7130398,5.7234268
4608,50.7330485,5.7619708
4610,50.624059450000004,5.66227135
4620,50.6153762,5.6813729
4621,50.6314738,5.6921515
4623,50.6030912,5.6827751
4624,50.610608,5.664504
4630,50.62628,5.72904005
4632,50.6481919,5.7311606
4633,50.635978425000005,5.7354293
4650,50.6382689,5.7861455
4651,50.6376138,5.779297
4652,50.6059793,5.7657199
4654,50.684129150000004,5.80535555
4670,50.6918779,5.7262707
4671,50.6694891,5.689444
4672,50.6925514,5.706587
4680,50.710383199999995,5.6364155
4681,50.7145352,5.6798093
4682,50.7364686,5.6214907
4683,50.697684,5.6497881
4684,50.7364668,5.6666672
4690,50.7590187,5.6075724
4700,50.62929,6.03523
4701,50.652496049999996,6.05233535
4710,50.6670018,6.0006697
4711,50.68738342,6.034682005
4720,50.716820350000006,6.0122173
4721,50.722645,6.0210386
4728,50.7148731,6.0339655
4730,50.679254,6.11283
4731,50.691859199999996,6.0846312
4750,50.42605685,6.20114
4760,50.39570655,6.28936245
4770,50.3542991,6.171251
4780,50.2797224,6.130456
4782,50.2923427,6.2749495
4784,50.2889726,6.0682322
4790,50.196095,6.13523855
4791,50.21821,6.07391
4800,50.5910337,5.8607928
4801,50.5906641,5.890965
